"School","Subject","StudentID","Gender","Country","Score"
"Beijing No 4 Middle School","English",1,"Male","China",84
"Hangzhou Xuejun Middle School","English",1,"Male","China",46
"Jingling High School","English",1,"Male","China",60
"Shanghai High School","English",1,"Male","China",69
"Shenzhen International Exchange School","English",1,"Male","China",78
"Andover Regional High School","English",1,"Male","USA",60
"Newton South High School","English",1,"Male","USA",75
"Phillips Academy","English",1,"Male","USA",45
"Action Boxborough Regional High School","English",1,"Male","USA",75
"Woburn Regional High School","English",1,"Male","USA",100
"Beijing No 4 Middle School","Math",1,"Male","China",76
"Hangzhou Xuejun Middle School","Math",1,"Male","China",79
"Jingling High School","Math",1,"Male","China",70
"Shanghai High School","Math",1,"Male","China",90
"Shenzhen International Exchange School","Math",1,"Male","China",72
"Andover Regional High School","Math",1,"Male","USA",100
"Newton South High School","Math",1,"Male","USA",49
"Phillips Academy","Math",1,"Male","USA",63
"Action Boxborough Regional High School","Math",1,"Male","USA",22
"Woburn Regional High School","Math",1,"Male","USA",100
"Beijing No 4 Middle School","Physical Education",1,"Male","China",93
"Hangzhou Xuejun Middle School","Physical Education",1,"Male","China",63
"Jingling High School","Physical Education",1,"Male","China",66
"Shanghai High School","Physical Education",1,"Male","China",61
"Shenzhen International Exchange School","Physical Education",1,"Male","China",49
"Andover Regional High School","Physical Education",1,"Male","USA",89
"Newton South High School","Physical Education",1,"Male","USA",73
"Phillips Academy","Physical Education",1,"Male","USA",73
"Action Boxborough Regional High School","Physical Education",1,"Male","USA",72
"Woburn Regional High School","Physical Education",1,"Male","USA",54
"Beijing No 4 Middle School","Science",1,"Male","China",40
"Hangzhou Xuejun Middle School","Science",1,"Male","China",66
"Jingling High School","Science",1,"Male","China",63
"Shanghai High School","Science",1,"Male","China",47
"Shenzhen International Exchange School","Science",1,"Male","China",66
"Andover Regional High School","Science",1,"Male","USA",45
"Newton South High School","Science",1,"Male","USA",66
"Phillips Academy","Science",1,"Male","USA",49
"Action Boxborough Regional High School","Science",1,"Male","USA",48
"Woburn Regional High School","Science",1,"Male","USA",28
"Beijing No 4 Middle School","History",1,"Male","China",69
